source_id,source_title,source_type,tier,organization,url,date_accessed,confidence
SRC-L000,HP Latex Printing Technology overview,Datasheet,1,HP,https://www.hp.com/us-en/printers/large-format/latex-printing-technology.html,2026-07-05,High
SRC-L001,History of HP,Business_Filing,1,HP,https://www.hp.com/us-en/shop/tech-takes/history-of-hp,2026-07-05,High
SRC-L002,HP Latex 700 W & 800 W Printer Series,Dealer_Page,2,Papergraphics,https://paper-graphics.com/printers/product/hp-latex-700-w-800-w-series-printers,2026-07-05,Medium_High
SRC-L003,HP Latex 700W product page,Dealer_Page,2,NuSign Supply,https://nusignsupply.com/shop/printers/hp-latex-700w/,2026-07-05,Medium_High
SRC-L004,HP Latex 700 printer series official page,Datasheet,1,HP,https://www.hp.com/us-en/printers/large-format/latex-700-printer-series.html,2026-07-05,High
SRC-L005,HP Latex 700 W Printer product page,Dealer_Page,2,Digital Color Depot,https://www.digitalcolordepot.com/product/hp-latex-700-w-printer/,2026-07-05,Medium
SRC-L006,HP Latex 700 Printer - consumables listing,Dealer_Page,2,Franz Reprographics,https://franzrepro.com/product/hp-latex-700-printer/,2026-07-05,Medium_High
SRC-L007,HP Latex R530 Hybrid Printer product page,Dealer_Page,2,ND Graphics,https://www.ndgraphics.com/blog/post/hp-latex-r530-all-in-one-compact-hybrid-printer-for-rigid-and-flexible-printing,2026-07-05,Medium_High
SRC-L008,HP Latex R530 Printer product page,Dealer_Page,2,Digital Media Warehouse,https://digitalmediawarehouse.com/products/hp-latex-r530-printer-69g27h,2026-07-05,Medium_High
SRC-L009,Taking a Look at the HP Latex R530 Hybrid Printer,Trade_Press,3,Print Monthly,https://www.printmonthly.co.uk/specials/under-the-hood/taking-a-look-at-the-hp-latex-r530-hybrid-printer/,2026-07-05,High
SRC-L010,HP Latex 1500 126in Industrial Wide-Format Printer,Dealer_Page,2,Big Systems / Print Brilliant,https://bigsys.com/store/HP-Latex-1500-126-Industrial-Wide-Format-Printer-p598670268,2026-07-05,Medium_High
SRC-L011,We're going wider than ever - with an HP Latex 1500,Trade_Press,3,Perfect Colours,https://www.perfectcolours.com/blog/2019/01/25/were-going-wider-than-ever-with-an-hp-latex-1500/,2026-07-05,Medium_High
SRC-L012,HP Latex 1500 126in Large-Format Superwide Printer,Dealer_Page,2,NuSign Supply,https://nusignsupply.com/shop/printers/latex-printers/hp-latex-1500-126-large-format-superwide-printer/,2026-07-05,Medium
