ueid,field_name,engineering_domain,value,unit,original_value,original_unit,data_type,confidence,source_id,conflicting_value,conflicting_source_id,resolution_note,governance_tier
GDPPE-SOLV-EPSON-S80600,solvent_type,Ink_System,True_Solvent,,,,Enumeration,High,SRC-S001,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,solvent_ink_line,Ink_System,UltraChrome_GS3,,,,Enumeration,High,SRC-S001,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,ink_type,Ink_System,Solvent,,UltraChrome GS3 solvent-based,,Enumeration,High,SRC-S001,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,print_technology,Print_System,Drop-on-demand piezo (Dual-Array PrecisionCore TFP),,,,Text,High,SRC-S001,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,ink_channels,Ink_System,9,colours,CMYKLcLmLkOR + optional White or Metallic Silver,,Integer,High,SRC-S001,,,Up to 9-colour incl. Red; White/Metallic Silver optional (11-cartridge bay). Base recorded as 9.,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,native_resolution,Print_System,1440 x 1440,dpi,,,Text,High,SRC-S002,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,max_speed,Print_System,1020,sqft/hr,"Draft up to 1,020 sqft/hr; vinyl 195 sqft/hr",sqft/hr,Decimal,High,SRC-S003,195,SRC-S001,"1020 sqft/hr is draft/banner max (Equipment Zone); Epson US cites 195 sqft/hr adhesive-vinyl production quality. Mode-dependent, not a conflict.",Public_Verifiable
GDPPE-SOLV-EPSON-S80600,print_width,Mechanical,1615,mm,63.6 in max printable,in,Integer,High,SRC-S001,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,min_droplet_size,Print_System,4.2,picolitre,,,Decimal,High,SRC-S003,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,ink_cartridge_size,Ink_System,700,ml,,,Integer,High,SRC-S001,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,ventilation_requirement,Environmental,None required,,no special ventilation or air purification is required,,Text,High,SRC-S001,,,Epson explicitly markets this vs legacy true-solvent machines that DID need extraction. First category where ventilation is a real sourced spec.,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,rip_software,Workflow,ONYX GamaPrint Pro,,,,Text,High,SRC-S003,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,weight,Mechanical,615,lb,,,Integer,Medium_High,SRC-S001,635,SRC-S004,"S80600 listed 615 lb (Epson US); the sibling S60600 is 635 lb. Values are per-model, not conflicting.",Public_Verifiable
GDPPE-SOLV-EPSON-S60600,solvent_type,Ink_System,True_Solvent,,,,Enumeration,High,SRC-S004,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,solvent_ink_line,Ink_System,UltraChrome_GS3,,,,Enumeration,High,SRC-S004,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,ink_type,Ink_System,Solvent,,,,Enumeration,High,SRC-S004,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,print_technology,Print_System,Drop-on-demand piezo (Dual-Array PrecisionCore TFP),,,,Text,High,SRC-S004,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,ink_channels,Ink_System,4,colours,Dual CMYK (4-colour),,Integer,High,SRC-S004,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,native_resolution,Print_System,1440 x 1440,dpi,,,Text,High,SRC-S006,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,max_speed,Print_System,550,sqft/hr,Banner 550 sqft/hr; adhesive vinyl 310 sqft/hr,sqft/hr,Integer,High,SRC-S004,310,SRC-S006,"550 sqft/hr banner production (Epson US); vinyl quoted 310 (Epson) vs 190 (Argecy, different quality mode). Mode-dependent.",Public_Verifiable
GDPPE-SOLV-EPSON-S60600,print_width,Mechanical,1615,mm,63.6 in max printable,in,Integer,High,SRC-S004,,,,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,min_droplet_size,Print_System,4.2,picolitre,,,Decimal,High,SRC-S006,,,,Public_Verifiable
