manufacturer_id,manufacturer_name,brand_name,manufacturer_class,country,region,market_tier,headquarters,year_founded,website,manufacturer_status,source_id,confidence,notes
MFG-CANON,Canon Production Printing Netherlands B.V.,Canon Arizona,A_OEM,Netherlands,Europe,1_GlobalPremium,Venlo,Not_Publicly_Available,https://www.canon-europe.com,Active,SRC-001,N/A,"Arizona line originates from Oce (acquired by Canon 2010); precise founding date of this specific entity not publicly stated"
MFG-EFI,Electronics For Imaging Inc.,EFI,A_OEM,United States,North America,1_GlobalPremium,Fremont CA,1988,https://www.efi.com,Active,SRC-002,Medium,"Most business-history sources (FundingUniverse, D&B, ZoomInfo) say 1988; Wikipedia and one directory say 1989. Recorded per majority sourcing."
MFG-DURST,Durst Phototechnik AG,Durst,A_OEM,Italy,Europe,1_GlobalPremium,Brixen/Bressanone,1936,https://www.durst-group.com,Active,SRC-003,High,"Confirmed by Durst's own official history page and Wikipedia. One outlier (Bloomberg: 1980) likely refers to a later legal reincorporation, not original founding."
MFG-MIMAKI,Mimaki Engineering Co. Ltd.,Mimaki,A_OEM,Japan,Asia,2_ProfessionalCommercial,Tomi-shi Nagano,1975,https://mimaki.com,Active,SRC-004,High,"Confirmed by Mimaki's own official page plus multiple independent business databases. One outlier (Futubull: 1981) likely a data entry error."
MFG-RICOH,Ricoh Company Ltd.,Ricoh,F_Component,Japan,Asia,Under_Verification,Tokyo,Under_Verification,https://www.ricoh.com,Active,SRC-005,N/A,"Added as printhead-supplier reference only for this pilot; full manufacturer profile not yet researched - placeholder record"
MFG-AGFA,Agfa NV,Agfa Jeti,A_OEM,Belgium,Europe,1_GlobalPremium,Mortsel,Under_Verification,https://www.agfa.com,Active,SRC-006,N/A,"Agfa-Gevaert has complex corporate history (AGFA 1867 + Gevaert 1894, merged 1964); precise founding date for this specific entity not verified this session"
MFG-SWISSQPRINT,swissQprint AG,swissQprint,A_OEM,Switzerland,Europe,2_ProfessionalCommercial,Root,Under_Verification,https://www.swissqprint.com,Active,SRC-007,N/A,"Founding year not confirmed this session; Nyala model (3rd flatbed) launched 2012, implying company predates that"
MFG-ROLAND,Roland DG Corporation,Roland DG,A_OEM,Japan,Asia,2_ProfessionalCommercial,Hamamatsu,Under_Verification,https://www.rolanddg.com,Active,SRC-008,N/A,"Founding year not independently verified this session"
MFG-HANDTOP,Shenzhen Handtop Tech. Co. Ltd.,HandTop,B_Industrial,China,Asia,3_IndustrialValue,Shenzhen,2009,https://handtopuv.com,Active,SRC-009,Low,"Founding year per TradeIndia dealer listing (Tier 2/3), not confirmed via an official HandTop corporate page - lower confidence reflects genuinely thinner documentation for this manufacturer, a real test case for the tier-priority model"
MFG-KONICAMINOLTA,Konica Minolta Inc.,Konica Minolta,F_Component,Japan,Asia,Under_Verification,Tokyo,Under_Verification,https://www.konicaminolta.com,Active,SRC-010,N/A,"Added as printhead-supplier reference only for this pilot (swissQprint's 1280i printhead); full manufacturer profile not yet researched - placeholder record"
