ueid,field_name,engineering_domain,value,unit,original_value,original_unit,data_type,confidence,source_id,conflicting_value,conflicting_source_id,resolution_note,governance_tier
GDPPE-LATEX-HP-700W,print_width,Mechanical,1625,mm,64,in,Decimal,High,SRC-L003,,,,Public_Verifiable
GDPPE-LATEX-HP-700W,max_speed,Print_System,36,m2/hr,388,sq ft/hr,Decimal,Medium,SRC-L004,31,SRC-L005,"HP/Papergraphics official materials state 36 m2/hr (388 ft2/hr) outdoor mode as the headline figure. A different reseller page (Digital Color Depot) states 334 ft2/hr (~31 m2/hr) outdoor for what appears to be the same machine. A third source (Franz Reprographics) lists 1130 ft2/hr (~105 m2/hr) for an unspecified 1-pass draft mode. These likely reflect different pass-count/quality settings rather than a true contradiction, but the exact mode boundaries are not consistently documented across sources.",Public_Verifiable
GDPPE-LATEX-HP-700W,printhead_model,Print_System,HP 836,,,,Text,High,SRC-L006,,,,Public_Verifiable
GDPPE-LATEX-HP-700W,printhead_count,Print_System,10,count,"2x Black/Cyan; 2x Magenta/Yellow; 2x Light Cyan/Light Magenta; 2x Overcoat (config per NuSign lists 2 of each plus 2 more; total 10)",,Integer,Medium_High,SRC-L003,,,"Two independent sources agree on 10 total printheads but describe the exact channel split slightly differently - recorded the total with Medium-High rather than High confidence",Public_Verifiable
GDPPE-LATEX-HP-700W,native_resolution,Print_System,1200 x 1200,dpi,1200 x 1200,dpi,Text,High,SRC-L003,,,,Public_Verifiable
GDPPE-LATEX-HP-700W,ink_type,Ink_System,Latex,,,,Enumeration,High,SRC-L000,,,,Public_Verifiable
GDPPE-LATEX-HP-700W,ink_channels,Ink_System,CMYKLcLm + White + Optimizer + Overcoat (9 cartridges),,,,Text,High,SRC-L003,,,,Public_Verifiable
GDPPE-LATEX-HP-700W,ink_cartridge_size,Ink_System,1,liter,1,liter,Decimal,High,SRC-L003,,,,Public_Verifiable
GDPPE-LATEX-HP-700W,drying_technology,UV_Curing,Radiant heat + forced airflow (thermal),,,,Text,Medium,SRC-L000,,,"Described generically across HP's Latex ink technology, not confirmed as machine-specific detail for this exact model - see README note on the UVCuringType vocabulary gap for latex",Public_Verifiable
GDPPE-LATEX-HP-700W,rip_software,Software,Not_Publicly_Available,,,,Text,N/A,,,,"No specific RIP name found in sources reviewed; HP PrintOS is fleet/workflow management, not itself a RIP",Public_Verifiable
GDPPE-LATEX-HP-R530,print_width,Mechanical,1600,mm,64,in,Decimal,High,SRC-L007,,,,"Rounds slightly differently from the 700W's 1625mm across sources - both are the same nominal 64-inch width, not a real conflict",Public_Verifiable
GDPPE-LATEX-HP-R530,max_media_thickness,Mechanical,51,mm,2,in,Decimal,High,SRC-L007,,,,Public_Verifiable
GDPPE-LATEX-HP-R530,max_speed,Print_System,31,m2/hr,334,sq ft/hr,Decimal,Medium,SRC-L008,24,SRC-L009,"Dealer datasheet (Digital Media Warehouse) states 334 ft2/hr (~31 m2/hr) draft mode. Trade press (Print Monthly) states just under 24 sqm/hr in fast (six-pass) mode, dropping further in standard/quality modes. These may describe different pass-count definitions of 'fastest' mode rather than a contradiction, but are recorded as a discrepancy since neither source cross-references the other's figure.",Public_Verifiable
GDPPE-LATEX-HP-R530,printhead_model,Print_System,"HP 836 (Gen4, inferred)",,,,Text,Medium,SRC-L009,,,"Print Monthly confirms 10 printheads (2 cyan/black, 2 magenta/yellow, 2 LcLm, 2 white, 1 optimizer, 1 overcoat) but does not state the printhead model number. A separate source confirms R530 uses 'Gen4 inks', same generation as the 700/800 series' known HP 836 printheads - model number inferred from generation match, not independently confirmed for this specific machine.",Public_Verifiable
GDPPE-LATEX-HP-R530,printhead_count,Print_System,10,count,"2x cyan/black, 2x magenta/yellow, 2x LcLm, 2x white, 1x optimizer, 1x overcoat",,Integer,High,SRC-L009,,,,Public_Verifiable
GDPPE-LATEX-HP-R530,native_resolution,Print_System,1200 x 600,dpi,1200 x 600,dpi,Text,High,SRC-L007,,,"Notably lower vertical resolution than the 700W's 1200x1200 - a genuine spec difference, not a rounding artifact",Public_Verifiable
GDPPE-LATEX-HP-R530,ink_type,Ink_System,Latex,,,,Enumeration,High,SRC-L000,,,,Public_Verifiable
GDPPE-LATEX-HP-R530,ink_channels,Ink_System,CMYK + Lc + Lm + White(x2) + Optimizer + Overcoat,,,,Text,High,SRC-L009,,,,Public_Verifiable
GDPPE-LATEX-HP-R530,ink_cartridge_size,Ink_System,3,liter,3,liter,Decimal,High,SRC-L008,,,,Public_Verifiable
GDPPE-LATEX-HP-R530,drying_technology,UV_Curing,Radiant heat + forced airflow (thermal),,,,Text,Medium,SRC-L000,,,,Public_Verifiable
GDPPE-LATEX-HP-R530,rip_software,Software,Not_Publicly_Available,,,,Text,N/A,,,,"No specific RIP name found; HP PrintOS Production Hub is fleet/workflow management, not itself a RIP",Public_Verifiable
GDPPE-LATEX-HP-1500,print_width,Mechanical,3200,mm,126,in,Decimal,High,SRC-L010,,,,Public_Verifiable
